{'symbols':'XVSBUSD','symbol1':'XVS','symbol2':'BUSD','timeframe':'15m'}
{'open': 56.756, 'high': 56.795, 'low': 56.358, 'close': 56.71, 'vol': 236.708}
{'open': 56.64, 'high': 56.712, 'low': 56.549, 'close': 56.641, 'vol': 36.807}
{'open': 56.583, 'high': 56.635, 'low': 55.872, 'close': 55.872, 'vol': 539.331}
{'open': 55.871, 'high': 56.036, 'low': 55.021, 'close': 55.632, 'vol': 1141.115}
{'open': 55.629, 'high': 55.747, 'low': 54.127, 'close': 55.156, 'vol': 3594.507}
{'open': 55.048, 'high': 55.141, 'low': 54.309, 'close': 55.0, 'vol': 737.542}
{'open': 54.887, 'high': 55.159, 'low': 54.229, 'close': 54.229, 'vol': 461.47}
{'open': 54.229, 'high': 54.785, 'low': 54.05, 'close': 54.685, 'vol': 180.314}
{'open': 54.685, 'high': 54.847, 'low': 54.53, 'close': 54.626, 'vol': 311.804}
{'open': 54.773, 'high': 55.135, 'low': 54.455, 'close': 54.996, 'vol': 709.809}
{'open': 55.085, 'high': 55.29, 'low': 54.897, 'close': 55.246, 'vol': 192.473}
{'open': 55.263, 'high': 55.357, 'low': 54.959, 'close': 55.056, 'vol': 118.821}
{'open': 55.107, 'high': 55.107, 'low': 54.04, 'close': 54.294, 'vol': 895.092}
{'open': 54.374, 'high': 54.66, 'low': 54.119, 'close': 54.278, 'vol': 244.147}
{'open': 54.274, 'high': 54.785, 'low': 54.123, 'close': 54.783, 'vol': 177.565}
{'open': 54.783, 'high': 54.783, 'low': 54.44, 'close': 54.604, 'vol': 339.808}
{'open': 54.603, 'high': 55.265, 'low': 54.603, 'close': 55.264, 'vol': 352.854}
{'open': 55.265, 'high': 55.562, 'low': 54.905, 'close': 55.544, 'vol': 855.889}
{'open': 55.562, 'high': 55.619, 'low': 55.252, 'close': 55.488, 'vol': 165.959}
{'open': 55.48, 'high': 55.567, 'low': 55.387, 'close': 55.428, 'vol': 854.082}
{'open': 55.449, 'high': 55.498, 'low': 54.791, 'close': 54.791, 'vol': 210.659}
{'open': 54.79, 'high': 54.917, 'low': 54.183, 'close': 54.362, 'vol': 521.783}
{'open': 54.406, 'high': 55.744, 'low': 54.406, 'close': 55.744, 'vol': 760.381}
{'open': 55.629, 'high': 55.78, 'low': 55.081, 'close': 55.142, 'vol': 681.045}
{'open': 55.211, 'high': 56.675, 'low': 55.144, 'close': 56.366, 'vol': 2281.139}
{'open': 56.571, 'high': 58.043, 'low': 56.349, 'close': 57.987, 'vol': 1006.81}
{'open': 57.933, 'high': 57.942, 'low': 56.673, 'close': 57.278, 'vol': 875.572}
{'open': 57.279, 'high': 57.45, 'low': 56.275, 'close': 56.297, 'vol': 920.721}
{'open': 56.305, 'high': 56.906, 'low': 56.305, 'close': 56.607, 'vol': 1143.912}
{'open': 56.608, 'high': 57.661, 'low': 56.472, 'close': 57.387, 'vol': 893.028}
{'open': 57.324, 'high': 57.47, 'low': 56.481, 'close': 56.502, 'vol': 868.828}
{'open': 56.502, 'high': 56.964, 'low': 56.502, 'close': 56.783, 'vol': 515.276}
{'open': 56.776, 'high': 56.984, 'low': 56.197, 'close': 56.294, 'vol': 555.7}
{'open': 56.497, 'high': 57.599, 'low': 56.33, 'close': 57.237, 'vol': 913.852}
{'open': 57.397, 'high': 57.968, 'low': 57.266, 'close': 57.468, 'vol': 567.892}
{'open': 57.7, 'high': 58.904, 'low': 57.684, 'close': 58.778, 'vol': 1838.317}
{'open': 58.662, 'high': 59.465, 'low': 58.201, 'close': 59.152, 'vol': 1274.455}
{'open': 59.352, 'high': 62.0, 'low': 59.103, 'close': 59.924, 'vol': 3627.772}
{'open': 59.936, 'high': 60.194, 'low': 58.912, 'close': 59.337, 'vol': 995.247}
{'open': 59.156, 'high': 59.212, 'low': 58.058, 'close': 58.436, 'vol': 998.896}
{'open': 58.396, 'high': 58.566, 'low': 57.854, 'close': 57.854, 'vol': 463.287}
{'open': 58.029, 'high': 58.435, 'low': 58.0, 'close': 58.35, 'vol': 495.56}
{'open': 58.348, 'high': 58.454, 'low': 58.094, 'close': 58.362, 'vol': 67.247}
{'open': 58.454, 'high': 58.902, 'low': 58.278, 'close': 58.511, 'vol': 452.86}
{'open': 58.29, 'high': 58.369, 'low': 57.05, 'close': 57.05, 'vol': 1045.217}
{'open': 57.217, 'high': 57.339, 'low': 56.969, 'close': 57.233, 'vol': 313.925}
{'open': 57.231, 'high': 57.231, 'low': 56.414, 'close': 56.486, 'vol': 413.868}
{'open': 56.586, 'high': 56.772, 'low': 56.537, 'close': 56.735, 'vol': 352.09}
{'open': 56.735, 'high': 56.836, 'low': 56.224, 'close': 56.224, 'vol': 267.827}
{'open': 56.223, 'high': 56.485, 'low': 56.023, 'close': 56.481, 'vol': 493.038}
{'open': 56.475, 'high': 56.563, 'low': 56.226, 'close': 56.448, 'vol': 35.723}
{'open': 56.584, 'high': 56.741, 'low': 56.493, 'close': 56.504, 'vol': 214.069}
{'open': 56.501, 'high': 56.617, 'low': 56.192, 'close': 56.202, 'vol': 130.969}
{'open': 56.351, 'high': 56.351, 'low': 55.868, 'close': 55.868, 'vol': 159.684}
{'open': 55.866, 'high': 56.063, 'low': 55.744, 'close': 55.866, 'vol': 155.402}
{'open': 55.866, 'high': 56.386, 'low': 55.866, 'close': 56.386, 'vol': 649.007}
{'open': 56.386, 'high': 56.408, 'low': 55.92, 'close': 56.222, 'vol': 119.304}
{'open': 56.171, 'high': 56.221, 'low': 55.816, 'close': 55.912, 'vol': 162.994}
{'open': 56.121, 'high': 56.171, 'low': 55.77, 'close': 55.808, 'vol': 122.054}
{'open': 55.97, 'high': 56.012, 'low': 55.791, 'close': 55.995, 'vol': 9.968}
{'open': 55.792, 'high': 55.947, 'low': 55.51, 'close': 55.656, 'vol': 272.245}
{'open': 55.651, 'high': 55.815, 'low': 55.651, 'close': 55.75, 'vol': 156.475}
{'open': 55.75, 'high': 55.88, 'low': 55.627, 'close': 55.88, 'vol': 70.624}
{'open': 55.754, 'high': 56.311, 'low': 55.635, 'close': 55.826, 'vol': 313.273}
{'open': 55.995, 'high': 55.995, 'low': 55.556, 'close': 55.815, 'vol': 228.967}
{'open': 55.815, 'high': 55.815, 'low': 54.873, 'close': 55.0, 'vol': 2394.311}
{'open': 55.0, 'high': 55.091, 'low': 54.712, 'close': 54.947, 'vol': 635.79}
{'open': 54.8, 'high': 54.95, 'low': 54.8, 'close': 54.801, 'vol': 245.231}
{'open': 54.8, 'high': 55.051, 'low': 54.737, 'close': 55.046, 'vol': 249.7}
{'open': 55.049, 'high': 55.208, 'low': 54.922, 'close': 55.208, 'vol': 144.293}
{'open': 55.209, 'high': 55.408, 'low': 55.15, 'close': 55.34, 'vol': 1070.629}
{'open': 55.15, 'high': 55.257, 'low': 54.377, 'close': 54.377, 'vol': 584.614}
{'open': 54.377, 'high': 55.0, 'low': 54.377, 'close': 54.998, 'vol': 187.439}
{'open': 55.0, 'high': 55.072, 'low': 54.362, 'close': 54.844, 'vol': 591.71}
{'open': 54.976, 'high': 55.265, 'low': 54.844, 'close': 55.265, 'vol': 210.709}
{'open': 55.265, 'high': 55.294, 'low': 54.942, 'close': 55.19, 'vol': 730.091}
{'open': 55.19, 'high': 55.294, 'low': 55.0, 'close': 55.0, 'vol': 133.701}
{'open': 55.047, 'high': 55.847, 'low': 55.047, 'close': 55.732, 'vol': 391.127}
{'open': 55.752, 'high': 56.709, 'low': 55.752, 'close': 56.655, 'vol': 1136.547}
{'open': 56.658, 'high': 56.673, 'low': 56.076, 'close': 56.179, 'vol': 409.611}
{'open': 56.288, 'high': 56.298, 'low': 55.496, 'close': 55.713, 'vol': 1739.297}
{'open': 55.711, 'high': 55.811, 'low': 55.391, 'close': 55.655, 'vol': 280.775}
{'open': 55.619, 'high': 55.619, 'low': 55.027, 'close': 55.05, 'vol': 197.628}
{'open': 55.149, 'high': 55.299, 'low': 54.882, 'close': 55.253, 'vol': 836.403}
{'open': 55.249, 'high': 55.509, 'low': 55.223, 'close': 55.436, 'vol': 269.89}
{'open': 55.366, 'high': 55.924, 'low': 55.337, 'close': 55.708, 'vol': 347.067}
{'open': 55.584, 'high': 55.92, 'low': 55.584, 'close': 55.881, 'vol': 142.396}
{'open': 55.862, 'high': 55.932, 'low': 55.251, 'close': 55.506, 'vol': 699.425}
{'open': 55.537, 'high': 56.857, 'low': 55.252, 'close': 55.587, 'vol': 1209.093}
{'open': 55.5, 'high': 55.62, 'low': 55.408, 'close': 55.447, 'vol': 14.825}
{'open': 55.583, 'high': 55.59, 'low': 55.267, 'close': 55.509, 'vol': 544.084}
{'open': 55.59, 'high': 55.591, 'low': 55.155, 'close': 55.348, 'vol': 209.668}
{'open': 55.269, 'high': 55.562, 'low': 54.9, 'close': 55.371, 'vol': 1508.754}
{'open': 55.441, 'high': 55.865, 'low': 55.272, 'close': 55.3, 'vol': 261.648}
{'open': 55.419, 'high': 55.503, 'low': 55.0, 'close': 55.236, 'vol': 1068.187}
{'open': 55.001, 'high': 55.155, 'low': 54.739, 'close': 54.988, 'vol': 131.054}
{'open': 54.994, 'high': 55.063, 'low': 54.76, 'close': 55.044, 'vol': 142.433}
{'open': 54.851, 'high': 55.547, 'low': 54.771, 'close': 55.51, 'vol': 966.41}
{'open': 55.507, 'high': 56.017, 'low': 55.172, 'close': 55.998, 'vol': 284.416}
{'open': 55.998, 'high': 55.998, 'low': 55.313, 'close': 55.633, 'vol': 445.472}
{'open': 55.645, 'high': 55.669, 'low': 55.294, 'close': 55.669, 'vol': 67.593}
{'open': 55.693, 'high': 56.441, 'low': 55.693, 'close': 56.301, 'vol': 535.78}
{'open': 56.387, 'high': 57.45, 'low': 56.124, 'close': 57.45, 'vol': 812.007}
{'open': 57.328, 'high': 57.328, 'low': 56.352, 'close': 56.494, 'vol': 866.473}
{'open': 56.538, 'high': 57.054, 'low': 56.48, 'close': 56.911, 'vol': 113.188}
{'open': 57.058, 'high': 57.155, 'low': 56.267, 'close': 56.406, 'vol': 1292.554}
{'open': 56.267, 'high': 56.267, 'low': 55.336, 'close': 55.596, 'vol': 1009.025}
{'open': 55.668, 'high': 56.605, 'low': 55.561, 'close': 56.076, 'vol': 932.842}
{'open': 56.065, 'high': 56.527, 'low': 56.059, 'close': 56.137, 'vol': 165.863}
{'open': 56.124, 'high': 56.124, 'low': 55.406, 'close': 55.406, 'vol': 736.52}
{'open': 55.406, 'high': 55.532, 'low': 54.851, 'close': 55.043, 'vol': 138.297}
{'open': 54.854, 'high': 55.555, 'low': 54.852, 'close': 55.555, 'vol': 338.995}
{'open': 55.556, 'high': 55.734, 'low': 55.457, 'close': 55.623, 'vol': 180.698}
{'open': 55.513, 'high': 55.665, 'low': 55.157, 'close': 55.6, 'vol': 191.967}
{'open': 55.6, 'high': 55.897, 'low': 55.168, 'close': 55.519, 'vol': 695.26}
{'open': 55.6, 'high': 55.6, 'low': 55.143, 'close': 55.341, 'vol': 263.498}
{'open': 55.342, 'high': 55.361, 'low': 55.155, 'close': 55.361, 'vol': 228.133}
{'open': 55.176, 'high': 55.201, 'low': 54.06, 'close': 54.83, 'vol': 2705.381}
{'open': 54.812, 'high': 54.85, 'low': 54.38, 'close': 54.385, 'vol': 286.307}
{'open': 54.502, 'high': 55.147, 'low': 54.349, 'close': 54.753, 'vol': 894.865}
{'open': 54.753, 'high': 55.25, 'low': 54.753, 'close': 54.997, 'vol': 220.811}
{'open': 55.006, 'high': 55.196, 'low': 54.633, 'close': 55.196, 'vol': 335.377}
{'open': 55.196, 'high': 55.737, 'low': 55.191, 'close': 55.51, 'vol': 504.456}
{'open': 55.509, 'high': 55.538, 'low': 55.15, 'close': 55.275, 'vol': 415.263}
{'open': 55.275, 'high': 55.714, 'low': 55.102, 'close': 55.545, 'vol': 251.027}
{'open': 55.554, 'high': 55.896, 'low': 55.51, 'close': 55.874, 'vol': 816.984}
{'open': 55.874, 'high': 56.207, 'low': 55.762, 'close': 55.975, 'vol': 305.805}
{'open': 55.975, 'high': 58.403, 'low': 55.975, 'close': 58.181, 'vol': 3043.38}
{'open': 58.004, 'high': 59.068, 'low': 57.451, 'close': 58.404, 'vol': 3467.13}
{'open': 58.405, 'high': 58.477, 'low': 57.754, 'close': 57.754, 'vol': 896.696}
